Campaign;Campaign ID;Campaign type;Currency code;Age;Gender;Clicks;Impr.;Cost
Loacker Jan - Feb 2025 (YT) - VVC - CPV;22162135107;In-stream video;EUR;45 - 54;Male;53;91,009;145.85
Loacker Jan - Feb 2025 (YT) - VVC - CPV;22162135107;In-stream video;EUR;25 - 34;Male;52;105,497;189.89
Loacker Sep - Oct 2025 (YT) - VVC - CPV;23016634492;In-stream video;EUR;25 - 34;Female;49;99,195;227.52
Loacker Jan - Feb 2025 (YT) - VVC - CPV;22162135107;In-stream video;EUR;35 - 44;Female;47;101,017;158.85
Loacker Sep - Oct 2025 (YT) - VVC - CPV;23016634492;In-stream video;EUR;45 - 54;Female;47;112,757;241.48
Bison Poly Max May - Jun 2025 (YT) - Bumper - CPM;22579539314;In-stream video;EUR;Unknown;Unknown;47;25,480;41.2
Loacker Apr - May 2025 (YT) - VVC - CPV;22460487259;In-stream video;EUR;45 - 54;Male;46;73,704;159.81
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;25 - 34;Male;45;258,043;42.04
Loacker Apr - May 2025 (YT) - VVC - CPV;22460487259;In-stream video;EUR;25 - 34;Male;44;77,524;179.72
Loacker Jan - Feb 2025 (YT) - VVC - CPV;22162135107;In-stream video;EUR;25 - 34;Female;42;76,660;136.46
